"Company 
(Maker-if known)","Specific Bean Origin
or Bar Name",REF,"Review
Date","Cocoa
Percent","Company
Location",Rating,"Bean
Type","Broad Bean
Origin"
Amedei,"Piura, Blanco de Criollo",979,2012,70%,Italy,3.75,NaN,Peru
Amedei,Porcelana,111,2007,70%,Italy,4,Criollo (Porcelana),Venezuela
Amedei,Nine,111,2007,75%,Italy,4,Blend,NaN
Amedei,Chuao,111,2007,70%,Italy,5,Trinitario,Venezuela
Amedei,Ecuador,123,2007,70%,Italy,3,Trinitario,Ecuador
Amedei,Jamaica,123,2007,70%,Italy,3,Trinitario,Jamaica
Amedei,Grenada,123,2007,70%,Italy,3.5,Trinitario,Grenada
Amedei,Venezuela,123,2007,70%,Italy,3.75,Trinitario (85% Criollo),Venezuela
Amedei,Madagascar,123,2007,70%,Italy,4,Trinitario (85% Criollo),Madagascar
Amedei,Trinidad,129,2007,70%,Italy,3.5,Trinitario,Trinidad
Amedei,Toscano Black,170,2007,63%,Italy,3.5,Blend,NaN
Amedei,Toscano Black,40,2006,70%,Italy,5,Blend,NaN
Amedei,Toscano Black,75,2006,66%,Italy,4,Blend,NaN
AMMA,Catongo,1065,2013,75%,Brazil,3.25,Forastero (Catongo),Brazil
AMMA,"Monte Alegre, 3 diff. plantations",572,2010,85%,Brazil,2.75,Forastero (Parazinho),Brazil
AMMA,"Monte Alegre, 3 diff. plantations",572,2010,50%,Brazil,3.75,Forastero (Parazinho),Brazil
AMMA,"Monte Alegre, 3 diff. plantations",572,2010,75%,Brazil,3.75,Forastero (Parazinho),Brazil
AMMA,"Monte Alegre, 3 diff. plantations",572,2010,60%,Brazil,4,Forastero (Parazinho),Brazil
Anahata,Elvesia,1259,2014,75%,U.S.A.,3,NaN,Dominican Republic
Animas,Alto Beni,1852,2016,75%,U.S.A.,3.5,NaN,Bolivia
Ara,Madagascar,1375,2014,75%,France,3,Trinitario,Madagascar
Ara,Chiapas,1379,2014,72%,France,2.5,NaN,Mexico
Ara,Equateur,1379,2014,75%,France,2.75,NaN,Ecuador
Ara,Trincheras,1379,2014,75%,France,3,NaN,Venezuela
